avg_ratings,num_pages,num_ratings,num_reviews,publish_date,Young Adult,Thriller,Science Fiction,Paranormal,Fantasy,Novels,Historical,Fiction,Crime,Adult,Mystery,Nonfiction,Philosophy,Romance,Suspense,History,Classics,Childrens,Psychology,Contemporary,Literature,Biography,Humor,Cultural,Historical Fiction,Horror,publish_year,publish_month,num_awards,kindle_price
4.23,127.0,"168,031","6,490",2010-01-01 00:00:00,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,2010,1,0,$0
4.23,127.0,"168,051","6,490",2010-01-01 00:00:00,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,2010,1,0,$0
3.61,,353,32,2000-11-10 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2000,11,0,$0.99
4.16,64.0,"180,654","1,955",1962-11-10 00:00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1962,11,0,$9.99
4.16,64.0,"180,628","1,955",1962-11-09 00:00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1962,11,0,$9.99
3.98,224.0,612,17,1987-05-18 00:00:00,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1987,5,0,
4.07,864.0,75,18,2011-11-10 00:00:00,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2011,11,0,
3.69,256.0,"2,038",62,1967-11-10 00:00:00,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1967,11,0,$1.99
3.7,223.0,"17,839",843,2002-11-10 00:00:00,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2002,11,0,$9.99
3.88,260.0,"19,373",914,1977-11-10 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1977,11,0,$9.99
3.81,160.0,"4,602",213,2003-11-10 00:00:00,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2003,11,0,
3.86,320.0,"4,020",136,1971-11-10 00:00:00,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1971,11,0,$3.82
3.72,446.0,"35,713","1,327",1978-11-10 00:00:00,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1978,11,1,
3.9,372.0,"3,283",79,2004-05-04 00:00:00,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2004,5,0,$5.99
3.96,254.0,"13,577",203,1980-10-10 00:00:00,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1980,10,0,$4.99
3.82,419.0,"25,110",536,1994-11-09 00:00:00,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1994,11,0,$8.99
3.82,419.0,"25,112",536,1994-11-10 00:00:00,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1994,11,0,$8.99
3.73,427.0,"20,148",410,1996-08-23 00:00:00,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,1996,8,0,$0.00
3.73,427.0,"20,149",410,1996-08-23 00:00:00,False,True,False,False,False,True,False,True,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,1996,8,0,$0.00
3.65,448.0,"14,186",368,1995-08-01 00:00:00,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1995,8,0,$9.74
3.91,512.0,"30,313",912,1999-08-03 00:00:00,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,1999,8,0,$9.24
3.91,512.0,"30,318",912,1999-08-03 00:00:00,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,1999,8,0,$9.24
4.28,146.0,"81,794","3,960",2002-02-01 00:00:00,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2002,2,0,$10.49
4.28,146.0,"81,790","3,960",2002-02-01 00:00:00,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2002,2,0,$10.49
4.16,170.0,"32,913","1,153",2002-06-05 00:00:00,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2002,6,0,$4.99
4.3,656.0,"6,652",474,1997-04-09 00:00:00,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1997,4,0,$4.99
3.93,224.0,107,8,1991-09-12 00:00:00,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1991,9,0,$13.99
3.61,352.0,"16,850",337,1995-10-09 00:00:00,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,1995,10,0,$5.99
