Unnamed: 0,avg_ratings,num_pages,num_ratings,num_reviews,publish_date,Unnamed: 9,year,date_key,Young Adult,Thriller,Science Fiction,Paranormal,Fantasy,Novels,Historical,Fiction,Crime,Adult,Mystery,Nonfiction,Philosophy,Romance,Suspense,History,Classics,Childrens,Psychology,Contemporary,Literature,Biography,Humor,Cultural,Historical Fiction,Horror,publish_year,publish_month,num_awards,Unnamed: 67
2734,4.65,164.0,71,7,9/9/2014 0:00,09-09,2014,2017-09-09,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,9,0,
845,4.35,72.0,"74,005","1,289",1/1/1936 0:00,01-01,1936,2017-01-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,1936,1,1,
1795,4.35,72.0,"74,013","1,289",1/1/1936 0:00,01-01,1936,2017-01-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,1936,1,1,
4067,4.08,56.0,"51,663",341,9/12/1937 0:00,09-12,1937,2017-09-12,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,1937,9,0,
3831,4.2,56.0,"44,316",559,9/9/1939 0:00,09-09,1939,2017-09-09,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1939,9,0,
728,4.2,56.0,"44,320",559,9/9/1939 0:00,09-09,1939,2017-09-09,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1939,9,0,
631,4.1,58.0,"2,642",332,6/27/1941 0:00,06-27,1941,2017-06-27,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,1941,6,0,
2532,4.29,44.0,"34,657",923,4/26/1942 0:00,04-26,1942,2017-04-26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1942,4,1,
3895,3.77,96.0,"12,423",434,5/1/1945 0:00,05-01,1945,2017-05-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1945,5,0,
1746,3.7,265.0,271,26,1/30/1949 0:00,01-30,1949,2017-01-30,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1949,1,0,
1522,4.14,328.0,"2,119,808","47,077",7/1/1950 0:00,07-01,1950,2017-07-01,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1950,7,2,
1517,4.14,328.0,"2,119,484","47,070",7/1/1950 0:00,07-01,1950,2017-07-01,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1950,7,2,
4481,4.04,228.0,"3,543",262,6/27/1950 0:00,06-27,1950,2017-06-27,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,1950,6,0,
1698,4.24,,80,10,12/1/1951 0:00,12-01,1951,2017-12-01,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1951,12,0,
866,3.97,107.0,"214,901","2,926",12/1/1952 0:00,12-01,1952,2017-12-01,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1952,12,2,
1837,3.97,107.0,"214,930","2,926",12/1/1952 0:00,12-01,1952,2017-12-01,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1952,12,2,
437,4.17,289.0,"54,575","1,018",10/14/1953 0:00,10-14,1953,2017-10-14,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,1953,10,1,
2884,4.23,88.0,"42,005",668,8/4/1955 0:00,08-04,1955,2017-08-04,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1955,8,0,
2921,4.02,191.0,"1,303",117,6/28/1955 0:00,06-28,1955,2017-06-28,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1955,6,0,
3493,3.75,192.0,"1,319",25,1/1/1955 0:00,01-01,1955,2017-01-01,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1955,1,0,
4677,4.14,207.0,"2,084",53,10/1/1955 0:00,10-01,1955,2017-10-01,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1955,10,0,
4117,4.23,88.0,"42,009",668,8/4/1955 0:00,08-04,1955,2017-08-04,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1955,8,0,
